Model Name,Model Description,,,,,,,,Model Sources [optional],,,,
,Developed by,Funded by [optional],Shared by [optional],Model type,Language(s) (NLP),License,Finetuned from model [optional],,Repository,Paper [optional],Demo [optional],Label Information,Comments
oferweintraub/bert-base-finance-sentiment-noisy-search,PIA,NIA,NIA,FIA,PIA,NIA,FIA,,NIA,FIA,NIA,FIA,
nimaafshar/parsbert-fa-sentiment-twitter,NIA,NIA,NIA,PIA,FIA,NIA,NIA,,NIA,NIA,NIA,FIA,
KBLab/robust-swedish-sentiment-multiclass,FIA,PIA,NIA,FIA,PIA,NIA,FIA,,NIA,FIA,NIA,NIA,
mstafam/fine-tuned-bert-financial-sentiment-analysis,NIA,NIA,NIA,FIA,PIA,NIA,FIA,,NIA,NIA,NIA,NIA,
traptrip/rosatom_survey_sentiment_classifier,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
philschmid/distilbert-base-multilingual-cased-sentiment,NIA,NIA,NIA,PIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
IsaacSarps/sentiment_analysis,NIA,NIA,NIA,PIA,PIA,NIA,PIA,,NIA,NIA,NIA,NIA,
Venkatesh4342/distilbert-helpdesk-sentiment,NIA,NIA,NIA,PIA,NIA,NIA,PIA,,NIA,NIA,NIA,PIA,
m3hrdadfi/albert-fa-base-v2-sentiment-multi,NIA,NIA,NIA,FIA,FIA,NIA,FIA,,FIA,NIA,NIA,FIA,
hw2942/bert-base-chinese-finetuning-financial-news-sentiment,NIA,NIA,NIA,PIA,PIA,NIA,NIA,,NIA,NIA,NIA,NIA,
bardsai/finance-sentiment-zh-fast,NIA,NIA,NIA,PIA,FIA,NIA,FIA,,NIA,NIA,NIA,FIA,
EMBEDDIA/rubert-tweetsentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
ramnika003/autotrain-sentiment_analysis_project-705021428,NIA,NIA,NIA,PIA,PIA,NIA,PIA,,PIA,NIA,NIA,NIA,
pysentimiento/roberta-es-sentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
