Model Name,Model Description,,,,,,,,Model Sources [optional],,,,
,Developed by,Funded by [optional],Shared by [optional],Model type,Language(s) (NLP),License,Finetuned from model [optional],,Repository,Paper [optional],Demo [optional],Label Information,Comments
sismetanin/rubert_conversational-ru-sentiment-krnd,NIA,NIA,FIA,FIA,FIA,NIA,FIA,,NIA,NIA,NIA,PIA,
RogerB/kin-sentiC,NIA,NIA,FIA,NIA,NIA,PIA,FIA,,NIA,NIA,NIA,PIA,
Anthos23/my-awesome-model,NIA,NIA,FIA,FIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,NIA,NIA,FIA,FIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
course5i/SEAD-L-6_H-256_A-8-mnli,PIA,NIA,FIA,FIA,FIA,PIA,FIA,,FIA,NIA,NIA,FIA,
Narsil/finbert-slow,NIA,NIA,FIA,FIA,FIA,PIA,FIA,,NIA,NIA,NIA,PIA,
sairahul5223/autotrain-auto-train-intent-classification-20220928-1584756071,NIA,NIA,FIA,FIA,FIA,PIA,FIA,,NIA,NIA,NIA,PIA,
FinScience/FS-distilroberta-fine-tuned,NIA,PIA,FIA,NIA,FIA,NIA,NIA,,FIA,NIA,NIA,PIA,
senfu/bert-base-uncased-top-pruned-mnli,NIA,NIA,FIA,NIA,NIA,PIA,FIA,,FIA,NIA,NIA,NIA,
ruanchaves/bert-base-portuguese-cased-porsimplessent,NIA,NIA,FIA,NIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
Cincin-nvp/NusaX-senti_XLM-R,NIA,NIA,FIA,NIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
rhythm00/HF_tutor,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
mlkorra/obgv-gender-bert-hi-en,FIA,NIA,FIA,NIA,NIA,PIA,FIA,,NIA,NIA,NIA,NIA,
Svetlana0303/Classfication_longformer,NIA,NIA,FIA,NIA,FIA,NIA,NIA,,NIA,NIA,NIA,NIA,
sara-nabhani/ML-ns-bert-base-uncased,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,FIA,NIA,NIA,
yanezh/twiiter_try6_fold1,NIA,NIA,FIA,NIA,FIA,PIA,FIA,,NIA,FIA,NIA,NIA,
davidchiii/news-headlines,PIA,NIA,FIA,NIA,NIA,PIA,FIA,,FIA,FIA,NIA,NIA,
Hyeonseo/finance_news_classifier,NIA,NIA,FIA,NIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
dogruermikail/bert-fine-tuning-sentiment-stocks-analyis-uncased,NIA,PIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
finiteautomata/beto-headlines-sentiment-analysis,NIA,NIA,FIA,FIA,FIA,PIA,NIA,,FIA,NIA,NIA,NIA,
MavisAJ/Sentiment_analysis_roberta_model,NIA,NIA,FIA,FIA,NIA,PIA,FIA,,NIA,FIA,NIA,NIA,
cardiffnlp/xlm-v-base-tweet-sentiment-ar,NIA,NIA,FIA,FIA,FIA,NIA,FIA,,FIA,NIA,NIA,NIA,
cardiffnlp/xlm-roberta-base-tweet-sentiment-ar,NIA,NIA,FIA,FIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
cardiffnlp/xlm-roberta-base-tweet-sentiment-es,NIA,FIA,FIA,FIA,FIA,PIA,FIA,,FIA,NIA,NIA,NIA,
benjaminbeilharz/bert-base-uncased-sentiment-classifier,NIA,FIA,FIA,NIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
oandreae/financial_sentiment_model,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
RogerKam/roberta_fine_tuned_sentiment_financial_news,NIA,NIA,FIA,NIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
UchihaMadara/phobert-finetuned-sentiment-analysis,NIA,NIA,FIA,NIA,NIA,PIA,NIA,,NIA,NIA,NIA,NIA,
Mawulom/Fine-Tuned-Bert_Base_Cased_Sentiment_Analysis,NIA,NIA,FIA,FIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
Abdelrahman-Rezk/emotion-english-distilroberta-base-fine_tuned_for_amazon_english_reviews_V03_on_100K_review,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
salohnana2018/ARABERT02-best-trail,NIA,NIA,FIA,NIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
neojex/testing,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
CultureBERT/roberta-large-adhocracy,NIA,NIA,FIA,NIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
yanezh/twiiter_try10_fold4,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
yanezh/twiiter_try15_fold3,PIA,NIA,FIA,NIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
Tejas3/distillbert_base_uncased_80,NIA,NIA,FIA,NIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
salohnana2018/ABSA-Pair-domainAdapt-CAMEL-MSA-HARD-ImbalancedHandling-absoluteWeights-gamma1-dropout01,NIA,NIA,FIA,FIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
salohnana2018/ABSA-Pair-domainAdapt-CAMEL-MSA-HARD-ImbalancedHandling-inv-prop-weights-gamma1,NIA,NIA,FIA,NIA,NIA,PIA,FIA,,NIA,NIA,NIA,NIA,
CMunch/fine_tuned_dota,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
intanm/sa10-clm-20230403-001-3,NIA,NIA,FIA,NIA,NIA,PIA,FIA,,FIA,PIA,NIA,NIA,
hazrulakmal/bert-base-uncased-finetuned,NIA,PIA,FIA,FIA,FIA,PIA,FIA,,FIA,NIA,NIA,NIA,
