Model Name,Training Data,Training Procedure,Preprocessing [optional],Training Hyperparameters,"Speeds, Sizes, Times [optional]"
oferweintraub/bert-base-finance-sentiment-noisy-search,FIA,FIA,NIA,FIA,NIA
nimaafshar/parsbert-fa-sentiment-twitter,NIA,NIA,NIA,NIA,NIA
KBLab/robust-swedish-sentiment-multiclass,NIA,NIA,NIA,NIA,NIA
mstafam/fine-tuned-bert-financial-sentiment-analysis,FIA,NIA,NIA,FIA,NIA
traptrip/rosatom_survey_sentiment_classifier,NIA,NIA,NIA,NIA,NIA
philschmid/distilbert-base-multilingual-cased-sentiment,NIA,NIA,NIA,FIA,NIA
IsaacSarps/sentiment_analysis,NIA,NIA,NIA,FIA,NIA
Venkatesh4342/distilbert-helpdesk-sentiment,NIA,NIA,NIA,FIA,NIA
m3hrdadfi/albert-fa-base-v2-sentiment-multi,NIA,NIA,NIA,NIA,NIA
hw2942/bert-base-chinese-finetuning-financial-news-sentiment,NIA,NIA,NIA,NIA,NIA
bardsai/finance-sentiment-zh-fast,NIA,NIA,NIA,FIA,NIA
EMBEDDIA/rubert-tweetsentiment,NIA,NIA,NIA,NIA,NIA
ramnika003/autotrain-sentiment_analysis_project-705021428,NIA,NIA,NIA,NIA,NIA
pysentimiento/roberta-es-sentiment,NIA,NIA,NIA,NIA,NIA
Softechlb/Sent_analysis_CVs,NIA,NIA,NIA,NIA,NIA
mdeniz1/turkish-sentiment-analysis-bert-base-turkish-uncased,NIA,NIA,NIA,FIA,NIA
ganeshkharad/gk-hinglish-sentiment,NIA,NIA,NIA,NIA,NIA
akahana/indonesia-sentiment-roberta,NIA,NIA,NIA,NIA,NIA
sahri/indonesiasentiment,FIA,NIA,NIA,NIA,NIA
Venkatesh4342/xlm-roberta-helpdesk-sentiment,NIA,NIA,NIA,FIA,NIA
KernAI/stock-news-distilbert,NIA,NIA,NIA,NIA,NIA
CAMeL-Lab/bert-base-arabic-camelbert-ca-sentiment,FIA,NIA,NIA,FIA,NIA
Cristian-dcg/beto-sentiment-analysis-finetuned-onpremise,NIA,NIA,NIA,FIA,NIA
cardiffnlp/twitter-roberta-base-2021-124m-sentiment,NIA,NIA,NIA,FIA,NIA
RashidNLP/Amazon-Deberta-Base-Sentiment,NIA,NIA,NIA,NIA,NIA
sudhanvasp/Sentiment-Analysis,NIA,NIA,FIA,FIA,NIA
dnzblgn/BART_Sentiment_Classification,NIA,NIA,NIA,FIA,NIA
MMG/xlm-roberta-base-sa-spanish,NIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-roberta-base-sentiment-multilingual,NIA,NIA,NIA,FIA,NIA
cardiffnlp/bertweet-base-sentiment,NIA,NIA,NIA,NIA,NIA
slisowski/stock_sentiment_hp,NIA,NIA,NIA,FIA,NIA
yj2773/hinglish11k-sentiment-analysis,NIA,NIA,NIA,NIA,NIA
bardsai/twitter-sentiment-pl-base,NIA,NIA,NIA,NIA,NIA
giotvr/portuguese-nli-3-labels,,,,,
mrfakename/distilroberta-financial-news-tweets-sentiment-analysis,,,,,
kinit/slovakbert-sentiment-twitter,FIA,NIA,NIA,FIA,NIA
clips/republic,NIA,NIA,NIA,FIA,NIA
Sonny4Sonnix/twitter-roberta-base-sentimental-analysis-of-covid-tweets,NIA,NIA,NIA,FIA,NIA
TFLai/turkish-bert-128k-sentiment,NIA,NIA,NIA,NIA,NIA
zabiullah/autotrain-customers_email_sentiment-3449294006,NIA,NIA,NIA,NIA,NIA
RogerKam/roberta_fine_tuned_sentiment_sst3,NIA,NIA,NIA,FIA,NIA
nikunjbjj/jd-resume-model,NIA,NIA,NIA,NIA,NIA
amphora/KorFinASC-XLM-RoBERTa,FIA,NIA,NIA,NIA,NIA
QuophyDzifa/Sentiment-Analysis-Model,NIA,NIA,NIA,FIA,NIA
Vasanth/bert-stock-sentiment-analyzer,NIA,NIA,NIA,FIA,NIA
dogruermikail/bert-fine-tuned-stock-sentiment-uncased,FIA,NIA,NIA,FIA,NIA
atowey01/hostel-reviews-sentiment-model,NIA,NIA,NIA,FIA,NIA
mr4/phobert-base-vi-sentiment-analysis,FIA,NIA,NIA,NIA,NIA
cardiffnlp/roberta-base-tweet-sentiment-en,NIA,NIA,NIA,NIA,NIA
