Model Name,Model Description,,,,,,,,Model Sources [optional],,,,
,Developed by,Funded by [optional],Shared by [optional],Model type,Language(s) (NLP),License,Finetuned from model [optional],,Repository,Paper [optional],Demo [optional],Label Information,Comments
oferweintraub/bert-base-finance-sentiment-noisy-search,NIA,PIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
nimaafshar/parsbert-fa-sentiment-twitter,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
KBLab/robust-swedish-sentiment-multiclass,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,PIA,
mstafam/fine-tuned-bert-financial-sentiment-analysis,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,PIA,
traptrip/rosatom_survey_sentiment_classifier,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
philschmid/distilbert-base-multilingual-cased-sentiment,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
IsaacSarps/sentiment_analysis,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
Venkatesh4342/distilbert-helpdesk-sentiment,NIA,NIA,FIA,NIA,NIA,PIA,FIA,,NIA,NIA,NIA,PIA,
m3hrdadfi/albert-fa-base-v2-sentiment-multi,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
hw2942/bert-base-chinese-finetuning-financial-news-sentiment,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
bardsai/finance-sentiment-zh-fast,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
EMBEDDIA/rubert-tweetsentiment,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
ramnika003/autotrain-sentiment_analysis_project-705021428,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
pysentimiento/roberta-es-sentiment,FIA,NIA,FIA,NIA,FIA,NIA,,,NIA,NIA,NIA,PIA,
Softechlb/Sent_analysis_CVs,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
mdeniz1/turkish-sentiment-analysis-bert-base-turkish-uncased,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
ganeshkharad/gk-hinglish-sentiment,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
akahana/indonesia-sentiment-roberta,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,PIA,NIA,NIA,PIA,
sahri/indonesiasentiment,NIA,NIA,FIA,PIA,FIA,NIA,FIA,,NIA,NIA,NIA,PIA,
Venkatesh4342/xlm-roberta-helpdesk-sentiment,NIA,PIA,FIA,FIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
KernAI/stock-news-distilbert,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,PIA,
CAMeL-Lab/bert-base-arabic-camelbert-ca-sentiment,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
Cristian-dcg/beto-sentiment-analysis-finetuned-onpremise,NIA,NIA,FIA,PIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
cardiffnlp/twitter-roberta-base-2021-124m-sentiment,NIA,NIA,FIA,NIA,FIA,NIA,NIA,,NIA,NIA,NIA,PIA,
RashidNLP/Amazon-Deberta-Base-Sentiment,PIA,NIA,FIA,NIA,FIA,NIA,FIA,,PIA,NIA,NIA,NIA,
sudhanvasp/Sentiment-Analysis,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,FIA,NIA,PIA,
dnzblgn/BART_Sentiment_Classification,NIA,PIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
MMG/xlm-roberta-base-sa-spanish,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
cardiffnlp/xlm-roberta-base-sentiment-multilingual,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
cardiffnlp/bertweet-base-sentiment,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,FIA,NIA,PIA,
slisowski/stock_sentiment_hp,NIA,PIA,FIA,PIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
yj2773/hinglish11k-sentiment-analysis,NIA,NIA,FIA,FIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
bardsai/twitter-sentiment-pl-base,NIA,NIA,FIA,FIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
giotvr/portuguese-nli-3-labels,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
mrfakename/distilroberta-financial-news-tweets-sentiment-analysis,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,FIA,NIA,NIA,
kinit/slovakbert-sentiment-twitter,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,Uncertain,
clips/republic,NIA,NIA,FIA,,NIA,NIA,NIA,,NIA,NIA,NIA,PIA,
Sonny4Sonnix/twitter-roberta-base-sentimental-analysis-of-covid-tweets,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
TFLai/turkish-bert-128k-sentiment,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,FIA,NIA,PIA,
zabiullah/autotrain-customers_email_sentiment-3449294006,NIA,NIA,FIA,NIA,NIA,PIA,FIA,,NIA,,NIA,PIA,
RogerKam/roberta_fine_tuned_sentiment_sst3,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,PIA,NIA,NIA,PIA,
nikunjbjj/jd-resume-model,NIA,PIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,PIA,
amphora/KorFinASC-XLM-RoBERTa,NIA,NIA,FIA,PIA,NIA,FIA,FIA,,NIA,NIA,NIA,NIA,
QuophyDzifa/Sentiment-Analysis-Model,PIA,NIA,FIA,PIA,FIA,NIA,FIA,,NIA,NIA,NIA,PIA,
Vasanth/bert-stock-sentiment-analyzer,NIA,NIA,FIA,FIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
dogruermikail/bert-fine-tuned-stock-sentiment-uncased,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
atowey01/hostel-reviews-sentiment-model,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,PIA,NIA,NIA,PIA,
