Model Name,Testing Data,Factors,Metrics,Results,Summary
sismetanin/rubert_conversational-ru-sentiment-krnd,NIA,NIA,NIA,NIA,NIA
RogerB/kin-sentiC,PIA,NIA,FIA,FIA,NIA
Anthos23/my-awesome-model,NIA,NIA,NIA,NIA,NIA
Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,NIA,NIA,NIA,NIA,NIA
course5i/SEAD-L-6_H-256_A-8-mnli,NIA,NIA,FIA,FIA,NIA
Narsil/finbert-slow,NIA,NIA,NIA,NIA,NIA
sairahul5223/autotrain-auto-train-intent-classification-20220928-1584756071,NIA,NIA,FIA,FIA,NIA
FinScience/FS-distilroberta-fine-tuned,FIA,NIA,PIA,PIA,NIA
senfu/bert-base-uncased-top-pruned-mnli,NIA,NIA,NIA,NIA,NIA
ruanchaves/bert-base-portuguese-cased-porsimplessent,NIA,NIA,NIA,NIA,NIA
Cincin-nvp/NusaX-senti_XLM-R,NIA,NIA,NIA,NIA,NIA
rhythm00/HF_tutor,NIA,NIA,NIA,NIA,NIA
mlkorra/obgv-gender-bert-hi-en,NIA,NIA,NIA,NIA,NIA
Svetlana0303/Classfication_longformer,NIA,NIA,PIA,PIA,NIA
sara-nabhani/ML-ns-bert-base-uncased,NIA,NIA,NIA,NIA,NIA
yanezh/twiiter_try6_fold1,NIA,NIA,NIA,NIA,NIA
davidchiii/news-headlines,NIA,NIA,FIA,FIA,NIA
Hyeonseo/finance_news_classifier,NIA,NIA,NIA,NIA,NIA
dogruermikail/bert-fine-tuning-sentiment-stocks-analyis-uncased,NIA,NIA,NIA,NIA,NIA
finiteautomata/beto-headlines-sentiment-analysis,NIA,NIA,NIA,NIA,NIA
MavisAJ/Sentiment_analysis_roberta_model,NIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-v-base-tweet-sentiment-ar,NIA,NIA,FIA,FIA,NIA
cardiffnlp/xlm-roberta-base-tweet-sentiment-ar,NIA,NIA,FIA,FIA,NIA
cardiffnlp/xlm-roberta-base-tweet-sentiment-es,NIA,NIA,FIA,FIA,NIA
benjaminbeilharz/bert-base-uncased-sentiment-classifier,NIA,NIA,NIA,NIA,NIA
oandreae/financial_sentiment_model,NIA,NIA,FIA,FIA,NIA
RogerKam/roberta_fine_tuned_sentiment_financial_news,NIA,NIA,FIA,FIA,NIA
UchihaMadara/phobert-finetuned-sentiment-analysis,NIA,NIA,FIA,FIA,NIA
Mawulom/Fine-Tuned-Bert_Base_Cased_Sentiment_Analysis,NIA,NIA,FIA,FIA,NIA
Abdelrahman-Rezk/emotion-english-distilroberta-base-fine_tuned_for_amazon_english_reviews_V03_on_100K_review,NIA,NIA,NIA,NIA,NIA
salohnana2018/ARABERT02-best-trail,NIA,NIA,NIA,NIA,NIA
neojex/testing,NIA,NIA,NIA,NIA,NIA
CultureBERT/roberta-large-adhocracy,NIA,NIA,NIA,NIA,NIA
yanezh/twiiter_try10_fold4,NIA,NIA,NIA,NIA,NIA
yanezh/twiiter_try15_fold3,NIA,NIA,FIA,FIA,NIA
Tejas3/distillbert_base_uncased_80,NIA,NIA,NIA,NIA,NIA
salohnana2018/ABSA-Pair-domainAdapt-CAMEL-MSA-HARD-ImbalancedHandling-absoluteWeights-gamma1-dropout01,NIA,NIA,NIA,NIA,NIA
salohnana2018/ABSA-Pair-domainAdapt-CAMEL-MSA-HARD-ImbalancedHandling-inv-prop-weights-gamma1,NIA,NIA,NIA,NIA,NIA
CMunch/fine_tuned_dota,NIA,NIA,FIA,FIA,NIA
intanm/sa10-clm-20230403-001-3,NIA,NIA,FIA,FIA,NIA
hazrulakmal/bert-base-uncased-finetuned,NIA,NIA,FIA,FIA,NIA
intanm/fin-sa-post-trained-indobert-base-finreports-p2-001,NIA,NIA,NIA,NIA,NIA
intanm/fin-sa-post-trained-indobert-base-combined,NIA,NIA,NIA,NIA,NIA
chinmayapani/panich,NIA,NIA,NIA,NIA,NIA
bvint/autotrain-sphere-lecture-demo-1671659193,NIA,NIA,FIA,FIA,NIA
DingYao/autotrain-fbert-singlish-1755361190,NIA,NIA,FIA,FIA,NIA
jordankrishnayah/robertaSentimentBiasTestwithMBIC,NIA,NIA,NIA,NIA,NIA
EMBEDDIA/bertic-tweetsentiment,NIA,NIA,NIA,NIA,NIA
hazrulakmal/benchmark-finetuned-distilbert,NIA,NIA,FIA,FIA,NIA
