Model Name,Testing Data,Factors,Metrics,Results,Summary
sismetanin/rubert-ru-sentiment-rureviews,NIA,FIA,FIA,FIA,NIA
Timothy1337/finetuning-sentiment-all_df,NIA,NIA,PIA,PIA,NIA
DSI/human-directed-sentiment,NIA,NIA,NIA,NIA,NIA
venetis/deberta-v3-base-finetuned-3d-sentiment,NIA,NIA,FIA,FIA,NIA
LondonStory/txlm-roberta-hindi-sentiment,PIA,NIA,PIA,PIA,NIA
ldeb/solved-finbert-tone,NIA,NIA,NIA,NIA,NIA
gabrielyang/finance_news_classifier-KR_v7,NIA,NIA,FIA,FIA,NIA
rohanrajpal/bert-base-en-hi-codemix-cased,NIA,NIA,FIA,FIA,NIA
Himanshusingh/finetunedfinbert-model,NIA,NIA,PIA,PIA,NIA
mtyrrell/CPU_Transport_GHG_Classifier,NIA,FIA,FIA,FIA,NIA
Cloudy1225/stackoverflow-roberta-base-sentiment,NIA,NIA,NIA,NIA,NIA
jayantapaul888/twitter-data-microsoft-deberta-base-mnli-sentiment-finetuned-memes,NIA,NIA,FIA,FIA,NIA
Theivaprakasham/sentence-transformers-paraphrase-MiniLM-L6-v2-twitter_sentiment,NIA,NIA,NIA,NIA,NIA
eevvgg/sentimenTw-political,PIA,PIA,FIA,FIA,NIA
techthiyanes/Bert_Bahasa_Sentiment,NIA,NIA,NIA,NIA,NIA
Elron/deberta-v3-large-sentiment,NIA,PIA,FIA,FIA,NIA
ErisGrey/my_models,NIA,NIA,NIA,NIA,NIA
francisco-perez-sorrosal/distilbert-base-multilingual-cased-finetuned-with-spanish-tweets-clf-cleaned-ds,NIA,NIA,NIA,NIA,NIA
gabrielkytz/finetuning-sentiment-model-3000-samples,NIA,NIA,FIA,FIA,NIA
cardiffnlp/xlm-v-base-tweet-sentiment-de,NIA,NIA,FIA,FIA,NIA
elozano/tweet_sentiment_eval,NIA,NIA,NIA,NIA,NIA
adam-chell/tweet-sentiment-analyzer,NIA,NIA,NIA,NIA,NIA
rohanrajpal/bert-base-codemixed-uncased-sentiment,NIA,NIA,NIA,NIA,NIA
jordankrishnayah/fullManifesto-ROBERTAsentiment2e,NIA,NIA,NIA,NIA,NIA
Yt99/SFinBERT,NIA,NIA,NIA,NIA,NIA
Venkatesh4342/bert-base-uncased-finetuned-fin,NIA,NIA,PIA,PIA,NIA
UholoDala/tweet_sentiments_analysis_bert,NIA,NIA,PIA,PIA,NIA
LYTinn/finetuning-sentiment-model-tweet-gpt2,NIA,NIA,PIA,PIA,NIA
