,model,Ouput,_id,downloads,likes,architectures,datasets,language,metrics,pipeline_tag,lastModified,tags,#classes,is_sa
401,BeChi87/train_model_Lastest_16_8_lan2,"['POS', 'NEU', 'NEG']",64dcd6890a0efd28e3b7c956,4.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2023-08-16T14:12:24.000Z,"['transformers', 'pytorch', 'tensorboard', 'roberta', 'text-classification', 'region:us']",3,y
402,Svetlana0303/Classfication_electra,"[2, 1, 0]",63f32ef0d5f41eb978b1c718,4.0,0.0,['ElectraForSequenceClassification'],,,['accuracy'],text-classification,2023-02-20T08:31:28.000Z,"['transformers', 'pytorch', 'tensorboard', 'electra', 'text-classification', 'generated_from_trainer', 'license:apache-2.0', 'region:us']",3,y
403,raygx/BERT-NepSA-domainAdapt,"['NEUTRAL', 'POSITIVE', 'NEGATIVE']",64e76d648a431a73c83726e4,4.0,0.0,['BertForSequenceClassification'],,,,text-classification,2023-08-25T06:55:43.000Z,"['transformers', 'tf', 'bert', 'text-classification', 'generated_from_keras_callback', 'license:mit', 'region:us']",3,y
404,fassahat/anferico-bert-for-patents-finetuned-150k-sentences,"['1', '2', '0']",63f50b6f1f587e0dd2c38301,4.0,0.0,['BertForSequenceClassification'],,,,text-classification,2023-02-22T22:49:36.000Z,"['transformers', 'tf', 'bert', 'text-classification', 'region:us']",3,y
405,salohnana2018/ABSA-Pair-domainAdapt-Qarib-HARD-ImbalancedHandling-absoluteWeights-gamma1-dropout01,"['positive', 'negative', 'neutral']",64e8ae84a0e54d73e23211d1,4.0,0.0,['BertForSequenceClassification'],,,"['accuracy', 'f1', 'precision', 'recall']",text-classification,2023-08-25T14:49:15.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'generated_from_trainer', 'region:us']",3,y
406,BeChi87/train_model_Lastest_21,"['POS', 'NEG', 'NEU']",64cfa8149c245c6ba73673d4,4.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2023-08-06T14:09:44.000Z,"['transformers', 'pytorch', 'tensorboard', 'roberta', 'text-classification', 'region:us']",3,y
407,KarelDO/lstm.CEBaB_confounding.food_service_positive.absa.5-class.seed_42,"[1, 2, 0]",634dd7f5be5a827d48737f5e,4.0,0.0,['LSTMForSequenceClassification'],['OpenTable'],['en'],['accuracy'],text-classification,2022-10-17T22:33:06.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'en', 'dataset:OpenTable', 'generated_from_trainer', 'model-index', 'region:us']",3,y
408,aarnphm/multi-length-text-classification-pipeline,"['neutral', 'positive', 'negative']",641501b67abeec7ff2a0f0e5,4.0,0.0,['BertForSequenceClassification'],,['en'],,text-classification,2023-03-19T00:49:26.000Z,"['transformers', 'pytorch', 'safetensors', 'bert', 'text-classification', 'en', 'code', 'license:apache-2.0', 'region:us']",3,y
409,blinjrm/finsent,"['neutral', 'positive', 'negative']",621ffdc136468d709f179b17,4.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2021-05-20T14:28:23.000Z,"['transformers', 'pytorch', 'jax', 'roberta', 'text-classification', 'region:us']",3,y
410,yanezh/twiiter_try15_fold4,"['neutral', 'positive', 'negative']",6470b70b3df93fddece30a1b,4.0,0.0,['BertForSequenceClassification'],,,['f1'],text-classification,2023-05-26T14:14:19.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'generated_from_trainer', 'endpoints_compatible', 'region:us']",3,y
411,AlonCohen/RuSentNE-test,"['Positive', 'Neutral', 'Negative']",64328394028e0ea13aced029,4.0,0.0,['DebertaV2ForSequenceClassification'],,,,text-classification,2023-04-09T14:38:46.000Z,"['transformers', 'pytorch', 'deberta-v2', 'text-classification', 'region:us']",3,y
412,salohnana2018/MARBERTV02ABSAnew,"['positive', 'negative', 'neutral']",63f7425111ccb733ad1f5add,4.0,0.0,['BertForSequenceClassification'],,,,text-classification,2023-02-23T10:43:53.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'region:us']",3,y
413,raygx/distilBERT-NepSA,"['NEUTRAL', 'POSITIVE', 'NEGATIVE']",64c22f9795181d492ce50480,4.0,0.0,['DistilBertForSequenceClassification'],,,,text-classification,2023-07-27T08:49:45.000Z,"['transformers', 'tf', 'distilbert', 'text-classification', 'generated_from_keras_callback', 'region:us']",3,y
414,Narsil/finbert2,"['neutral', 'positive', 'negative']",6410a81c2a593afb553fb11f,4.0,0.0,['BertForSequenceClassification'],,en,,text-classification,2023-03-16T16:09:53.000Z,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'bert', 'text-classification', 'en', 'arxiv:1908.10063', 'financial-sentiment-analysis', 'sentiment-analysis', 'region:us']",3,y
415,Robher51/Model3,"['positive', 'negative', 'neutral']",64ecdd37c571d65496f4d552,4.0,0.0,['DistilBertForSequenceClassification'],,,,text-classification,2023-09-02T09:21:23.000Z,"['transformers', 'tf', 'distilbert', 'text-classification', 'region:us']",3,y
416,salohnana2018/ABSA-Pair-domainAdapt-Camel-MSA-HARD-ImbalancedHandling-absoluteWeights-gamma1-run2,"['negative', 'positive', 'neutral']",64e9c04cf494f8b2a061ad22,4.0,0.0,['BertForSequenceClassification'],,,"['accuracy', 'f1', 'precision', 'recall']",text-classification,2023-08-26T09:58:23.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'generated_from_trainer', 'license:apache-2.0', 'region:us']",3,y
417,niksmer/RoBERTa-RILE,"['Right', 'Left', 'Neutral']",621ffdc136468d709f17e761,4.0,0.0,['RobertaForSequenceClassification'],,,"['accuracy', 'precision', 'recall']",text-classification,2022-03-24T09:19:40.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'license:mit', 'endpoints_compatible', 'region:us']",3,y
418,chrommium/sbert_large-finetuned-sent_in_news_sents_3lab,"['LABEL_0', 'LABEL_1', 'LABEL_-1']",621ffdc136468d709f17a01b,4.0,0.0,['BertForSequenceClassification'],,,"['accuracy', 'f1']",text-classification,2021-10-11T13:29:58.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'generated_from_trainer', 'region:us']",3,y
