,model,Ouput,_id,downloads,likes,architectures,datasets,language,metrics,pipeline_tag,lastModified,tags,#classes,is_sa
301,sismetanin/rubert_conversational-ru-sentiment-krnd,"['LABEL_2', 'LABEL_1', 'LABEL_0']",621ffdc136468d709f1805b9,6.0,0.0,['BertForSequenceClassification'],,,,text-classification,2021-05-20T06:17:56.000Z,"['transformers', 'pytorch', 'jax', 'bert', 'text-classification', 'region:us']",3,y
302,RogerB/kin-sentiC,"['neutral', 'negative', 'positive']",64b65fa9be3019a8526bbbe9,6.0,0.0,['XLMRobertaForSequenceClassification'],,,['f1'],text-classification,2023-07-20T09:15:05.000Z,"['transformers', 'pytorch', 'tensorboard', 'xlm-roberta', 'text-classification', 'generated_from_trainer', 'license:mit', 'has_space', 'region:us']",3,y
303,Anthos23/my-awesome-model,"['positive', 'negative', 'neutral']",621ffdc036468d709f174ac3,6.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2022-02-23T11:09:10.000Z,"['transformers', 'pytorch', 'tf', 'roberta', 'text-classification', 'region:us']",3,y
304,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,"['Positive', 'Neutral', 'Negative']",622c3027cd9053c15ba57607,6.0,0.0,['BertForSequenceClassification'],,,,text-classification,2023-03-26T04:16:03.000Z,"['transformers', 'pytorch', 'safetensors', 'bert', 'text-classification', 'region:us']",3,y
305,course5i/SEAD-L-6_H-256_A-8-mnli,"[0, 1, 2]",62a66c0657845f11f396823a,6.0,0.0,['BertForSequenceClassification'],"['glue', 'mnli']",['en'],,text-classification,2022-06-12T22:43:38.000Z,"['transformers', 'pytorch', 'tf', 'jax', 'bert', 'text-classification', 'en', 'dataset:glue', 'dataset:mnli', 'arxiv:1910.01108', 'arxiv:1909.10351', 'arxiv:2002.10957', 'arxiv:1810.04805', 'arxiv:1804.07461', 'arxiv:1905.00537', 'SEAD', 'license:apache-2.0', 'region:us']",3,y
306,Narsil/finbert-slow,"['neutral', 'positive', 'negative']",6409be7fd67d480f719a6e3b,6.0,0.0,['BertForSequenceClassification'],,en,,text-classification,2023-03-09T11:09:51.000Z,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'bert', 'text-classification', 'en', 'arxiv:1908.10063', 'financial-sentiment-analysis', 'sentiment-analysis', 'region:us']",3,y
307,sairahul5223/autotrain-auto-train-intent-classification-20220928-1584756071,"['positive', 'neutral', 'negative']",63346ae39bb2d0886e50970a,6.0,0.0,,['sairahul5223/autotrain-data-auto-train-intent-classification-20220928'],['unk'],,text-classification,2022-09-28T15:41:12.000Z,"['transformers', 'pytorch', 'unk', 'dataset:sairahul5223/autotrain-data-auto-train-intent-classification-20220928', 'autotrain', 'text-classification', 'co2_eq_emissions', 'region:us']",3,y
308,FinScience/FS-distilroberta-fine-tuned,"['neutral', 'positive', 'negative']",6225eca5b213da14d165fac2,6.0,2.0,['RobertaForSequenceClassification'],,['en'],,text-classification,2022-03-07T17:17:48.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'en', 'has_space', 'region:us']",3,y
309,senfu/bert-base-uncased-top-pruned-mnli,"[0, 1, 2]",64c0b1dd9832a455bc261a7d,6.0,0.0,['ToPBertForSequenceClassification'],,,,text-classification,2023-07-26T05:51:35.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'region:us']",3,y
310,ruanchaves/bert-base-portuguese-cased-porsimplessent,"[2, 1, 0]",6421dbd85acad90e6b6ff3ba,6.0,0.0,['BertForSequenceClassification'],['ruanchaves/porsimplessent'],pt,,text-classification,2023-03-29T18:05:42.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'pt', 'dataset:ruanchaves/porsimplessent', 'has_space', 'region:us']",3,y
311,Cincin-nvp/NusaX-senti_XLM-R,"['Positive', 'Neutral', 'Negative']",64c0b0cd5e03515457fca7a8,6.0,0.0,['XLMRobertaForSequenceClassification'],,,,text-classification,2023-07-27T10:13:24.000Z,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'has_space', 'region:us']",3,y
