,model,Ouput,_id,downloads,likes,architectures,datasets,language,metrics,pipeline_tag,lastModified,tags,#classes,is_sa
201,sismetanin/rubert-ru-sentiment-rureviews,"['LABEL_2', 'LABEL_1', 'LABEL_0']",621ffdc136468d709f1805b4,13.0,2.0,['BertForSequenceClassification'],,['ru'],,text-classification,2021-05-20T06:09:59.000Z,"['transformers', 'pytorch', 'jax', 'bert', 'text-classification', 'ru', 'sentiment analysis', 'Russian', 'region:us']",3,y
202,Timothy1337/finetuning-sentiment-all_df,"['pos', 'neg', 'neu']",63c77df7523e3884e341b5ac,13.0,1.0,['DistilBertForSequenceClassification'],"['glue', 'wisesight_sentiment', 'tweet_eval', 'imdb']","['en', 'th']","['accuracy', 'f1']",text-classification,2023-02-06T04:31:33.000Z,"['transformers', 'pytorch', 'tensorboard', 'distilbert', 'text-classification', 'en', 'th', 'dataset:glue', 'dataset:wisesight_sentiment', 'dataset:tweet_eval', 'dataset:imdb', 'generated_from_trainer', 'license:apache-2.0', 'has_space', 'region:us']",3,y
203,DSI/human-directed-sentiment,"['LABEL_1', 'LABEL_0', 'LABEL_2']",621ffdc036468d709f175040,13.0,0.0,['BertForSequenceClassification'],,,,text-classification,2022-01-17T14:20:52.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'region:us']",3,y
204,venetis/deberta-v3-base-finetuned-3d-sentiment,"['LABEL_2', 'LABEL_1', 'LABEL_0']",64f4958a3daa796219cfb70a,13.0,0.0,['DebertaV2ForSequenceClassification'],,,"['accuracy', 'precision', 'recall', 'f1']",text-classification,2023-09-04T16:11:51.000Z,"['transformers', 'pytorch', 'tensorboard', 'deberta-v2', 'text-classification', 'generated_from_trainer', 'license:mit', 'endpoints_compatible', 'region:us']",3,y
205,LondonStory/txlm-roberta-hindi-sentiment,"['LABEL_2', 'LABEL_0', 'LABEL_1']",633d6b0cb8ac3a16a5194dec,13.0,0.0,['XLMRobertaForSequenceClassification'],,['hi'],,text-classification,2022-10-05T12:25:30.000Z,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'hi', 'txlm-roberta-hindi-sentiment', 'license:mit', 'region:us']",3,y
206,ldeb/solved-finbert-tone,"['Positive', 'Neutral', 'Negative']",63eea3897b7380ffc6a165f6,13.0,0.0,['BertForSequenceClassification'],,en,,text-classification,2023-02-16T21:45:28.000Z,"['transformers', 'pytorch', 'tf', 'bert', 'text-classification', 'en', 'financial-sentiment-analysis', 'sentiment-analysis', 'region:us']",3,y
207,gabrielyang/finance_news_classifier-KR_v7,"['positive', 'neutral', 'negative']",64dd8c4dd906d4b997929c36,13.0,0.0,['XLMRobertaForSequenceClassification'],,['ko'],['accuracy'],text-classification,2023-08-22T06:40:38.000Z,"['transformers', 'pytorch', 'tensorboard', 'xlm-roberta', 'text-classification', 'ko', 'generated_from_trainer', 'region:us']",3,y
208,rohanrajpal/bert-base-en-hi-codemix-cased,"['positive', 'negative', 'neutral']",621ffdc136468d709f17fe6e,13.0,0.0,['BertForSequenceClassification'],['SAIL 2017'],"['hi', 'en']","['fscore', 'accuracy', 'precision', 'recall']",text-classification,2021-05-19T00:31:33.000Z,"['transformers', 'pytorch', 'tf', 'jax', 'bert', 'text-classification', 'hi', 'en', 'dataset:SAIL 2017', 'es', 'codemix', 'license:apache-2.0', 'region:us']",3,y
209,Himanshusingh/finetunedfinbert-model,"['neutral', 'positive', 'negative']",64cca839d469fc2cf86b7db1,13.0,0.0,['BertForSequenceClassification'],,,['accuracy'],text-classification,2023-08-05T08:05:57.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'generated_from_trainer', 'has_space', 'region:us']",3,y
210,mtyrrell/CPU_Transport_GHG_Classifier,"['NEGATIVE', 'NOT_GHG', 'GHG']",64b525fd34a92b848cb3af60,13.0,0.0,['MPNetForSequenceClassification'],,,['accuracy'],text-classification,2023-07-23T22:06:10.000Z,"['transformers', 'pytorch', 'tensorboard', 'mpnet', 'text-classification', 'generated_from_trainer', 'license:apache-2.0', 'region:us']",3,y
211,Cloudy1225/stackoverflow-roberta-base-sentiment,"['positive', 'negative', 'neutral']",64799c80b74892dfb51d590e,12.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2023-06-03T06:49:48.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'arxiv:1709.02984', 'license:openrail', 'has_space', 'region:us']",3,y
212,jayantapaul888/twitter-data-microsoft-deberta-base-mnli-sentiment-finetuned-memes,"['2', '1', '0']",636139ae108cc69e687d3f84,12.0,0.0,['DebertaForSequenceClassification'],,,"['accuracy', 'precision', 'recall', 'f1']",text-classification,2022-11-02T22:20:03.000Z,"['transformers', 'pytorch', 'tensorboard', 'deberta', 'text-classification', 'generated_from_trainer', 'license:mit', 'region:us']",3,y
213,Theivaprakasham/sentence-transformers-paraphrase-MiniLM-L6-v2-twitter_sentiment,"['LABEL_1', 'LABEL_0', 'LABEL_2']",621ffdc136468d709f1778a6,12.0,1.0,['BertForSequenceClassification'],,,,text-classification,2021-12-06T06:18:02.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'region:us']",3,y
214,eevvgg/sentimenTw-political,"['positive', 'neutral', 'negative']",63d7b810f8fb9f0e9e00fcbe,12.0,0.0,['XLMRobertaForSequenceClassification'],,"['pl', 'en']","['accuracy', 'f1', 'precision', 'recall']",text-classification,2023-01-31T16:54:30.000Z,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'pl', 'en', 'text', 'sentiment', 'politics', 'model-index', 'region:us']",3,y
215,techthiyanes/Bert_Bahasa_Sentiment,"['LABEL_2', 'LABEL_0', 'LABEL_1']",621ffdc136468d709f180d16,12.0,0.0,['BertForSequenceClassification'],,,,text-classification,2021-05-20T07:26:52.000Z,"['transformers', 'pytorch', 'tf', 'jax', 'bert', 'text-classification', 'region:us']",3,y
216,Elron/deberta-v3-large-sentiment,"[2, 1, 0]",62b2d945cbd2a402fc585b47,12.0,1.0,['DebertaV2ForSequenceClassification'],,,['accuracy'],text-classification,2022-06-22T09:45:55.000Z,"['transformers', 'pytorch', 'deberta-v2', 'text-classification', 'generated_from_trainer', 'license:mit', 'region:us']",3,y
217,ErisGrey/my_models,"['POSITIVE', 'NEUTRAL', 'NEGATIVE']",64edcd754aa51daa2e1d834a,11.0,0.0,['DistilBertForSequenceClassification'],,,,text-classification,2023-08-29T19:24:12.000Z,"['transformers', 'pytorch', 'tensorboard', 'distilbert', 'text-classification', 'region:us']",3,y
218,francisco-perez-sorrosal/distilbert-base-multilingual-cased-finetuned-with-spanish-tweets-clf-cleaned-ds,"['P', 'NEU', 'N']",63d977d11a7685e437e34c45,11.0,0.0,['DistilBertForSequenceClassification'],['dataset'],,"['accuracy', 'f1', 'precision', 'recall']",text-classification,2023-01-31T22:11:46.000Z,"['transformers', 'pytorch', 'distilbert', 'text-classification', 'dataset:dataset', 'generated_from_trainer', 'license:apache-2.0', 'model-index', 'region:us']",3,y
219,gabrielkytz/finetuning-sentiment-model-3000-samples,"['positive', 'negative', 'neutral']",64f66afbb8cc49b41409c549,11.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2023-09-13T19:45:29.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'generated_from_trainer', 'region:us']",3,y
220,cardiffnlp/xlm-v-base-tweet-sentiment-de,"['positive', 'negative', 'neutral']",642599b2ea5435dde9e5f7a7,11.0,0.0,['XLMRobertaForSequenceClassification'],,,,text-classification,2023-03-30T14:23:45.000Z,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'region:us']",3,y
221,elozano/tweet_sentiment_eval,"['Positive', 'Neutral', 'Negative']",621ffdc136468d709f17aa50,11.0,4.0,['RobertaForSequenceClassification'],['tweet_eval'],en,,text-classification,2022-02-07T17:50:59.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'en', 'dataset:tweet_eval', 'license:mit', 'has_space', 'region:us']",3,y
222,adam-chell/tweet-sentiment-analyzer,"['POS', 'NEG', 'NEU']",621ffdc136468d709f178564,11.0,1.0,['RobertaForSequenceClassification'],,,,text-classification,2021-12-20T21:30:06.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'region:us']",3,y
223,rohanrajpal/bert-base-codemixed-uncased-sentiment,"['LABEL_2', 'LABEL_0', 'LABEL_1']",621ffdc136468d709f17fe6c,11.0,0.0,['BertForSequenceClassification'],['SAIL 2017'],"['hi', 'en']",,text-classification,2021-05-20T04:32:54.000Z,"['transformers', 'pytorch', 'tf', 'jax', 'bert', 'text-classification', 'hi', 'en', 'dataset:SAIL 2017', 'codemix', 'region:us']",3,y
224,jordankrishnayah/fullManifesto-ROBERTAsentiment2e,"['neutral', 'positive', 'negative']",64f4385c74243e51b0a80298,11.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2023-09-03T07:47:39.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'region:us']",3,y
225,Yt99/SFinBERT,"['positive', 'neutral', 'negative']",64f04dd36848e94371062163,11.0,1.0,['BertForSequenceClassification'],,['en'],['accuracy'],text-classification,2023-08-31T09:26:25.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'en', 'finance', 'has_space', 'region:us']",3,y
